nome,id_aluno,dominio,email,matriculas
JOSE,234,@dominiodoemail.com.br,jose@dominiodoemail.com.br,4
JOAO,42,@servicodoemail.com,joao@servicodoemail.com,4
ANTONIO,303,@servicodoemail.com,antonio@servicodoemail.com,2
FRANCISCO,155,@dominiodoemail.com.br,francisco@dominiodoemail.com.br,2
CARLOS,342,@servicodoemail.com,carlos@servicodoemail.com,1
PAULO,309,@servicodoemail.com,paulo@servicodoemail.com,5
PEDRO,54,@dominiodoemail.com.br,pedro@dominiodoemail.com.br,1
LUCAS,287,@servicodoemail.com,lucas@servicodoemail.com,1
LUIZ,378,@servicodoemail.com,luiz@servicodoemail.com,1
MARCOS,91,@dominiodoemail.com.br,marcos@dominiodoemail.com.br,1
LUIS,173,@dominiodoemail.com.br,luis@dominiodoemail.com.br,2
GABRIEL,217,@dominiodoemail.com.br,gabriel@dominiodoemail.com.br,1
RAFAEL,216,@servicodoemail.com,rafael@servicodoemail.com,1
DANIEL,33,@servicodoemail.com,daniel@servicodoemail.com,1
MARCELO,184,@servicodoemail.com,marcelo@servicodoemail.com,2
BRUNO,346,@dominiodoemail.com.br,bruno@dominiodoemail.com.br,2
EDUARDO,190,@servicodoemail.com,eduardo@servicodoemail.com,1
FELIPE,162,@dominiodoemail.com.br,felipe@dominiodoemail.com.br,2
RAIMUNDO,41,@dominiodoemail.com.br,raimundo@dominiodoemail.com.br,5
RODRIGO,9,@servicodoemail.com,rodrigo@servicodoemail.com,6
MANOEL,199,@dominiodoemail.com.br,manoel@dominiodoemail.com.br,5
MATEUS,286,@servicodoemail.com,mateus@servicodoemail.com,1
ANDRE,79,@servicodoemail.com,andre@servicodoemail.com,1
FERNANDO,172,@servicodoemail.com,fernando@servicodoemail.com,1
FABIO,15,@servicodoemail.com,fabio@servicodoemail.com,2
LEONARDO,48,@dominiodoemail.com.br,leonardo@dominiodoemail.com.br,1
GUSTAVO,11,@dominiodoemail.com.br,gustavo@dominiodoemail.com.br,1
GUILHERME,239,@servicodoemail.com,guilherme@servicodoemail.com,1
LEANDRO,241,@dominiodoemail.com.br,leandro@dominiodoemail.com.br,1
TIAGO,327,@servicodoemail.com,tiago@servicodoemail.com,4
ANDERSON,171,@servicodoemail.com,anderson@servicodoemail.com,1
RICARDO,102,@servicodoemail.com,ricardo@servicodoemail.com,1
MARCIO,283,@servicodoemail.com,marcio@servicodoemail.com,2
JORGE,191,@dominiodoemail.com.br,jorge@dominiodoemail.com.br,1
SEBASTIAO,349,@dominiodoemail.com.br,sebastiao@dominiodoemail.com.br,2
